region,n_gamma_rate_per_source,n_p_rate_per_source,n_alpha_rate_per_source
plasma,0.0,0.0,0.0
first_wall,4.815259582597213e-06,8.133128292409216e-06,8.946189595434154e-08
be,1.490279390265513e-08,0.0,0.00031097852991191876
blanket,2.086503019488099e-05,3.618958873483641e-17,3.4644137825074724e-10
shield,4.381398164558311e-05,5.6722618204006375e-05,1.003251279673256e-06
bioshield,1.076296898043391e-05,3.3653936547126294e-05,9.158992293899406e-06
